	X_Minimum	X_Maximum	Y_Minimum	Y_Maximum	Pixels_Areas	X_Perimeter	Y_Perimeter	Sum_of_Luminosity	Minimum_of_Luminosity	Maximum_of_Luminosity	Length_of_Conveyer	TypeOfSteel_A300	TypeOfSteel_A400	Steel_Plate_Thickness	Edges_Index	Empty_Index	Square_Index	Outside_X_Index	Edges_X_Index	Edges_Y_Index	Outside_Global_Index	LogOfAreas	Log_X_Index	Log_Y_Index	Orientation_Index	Luminosity_Index	SigmoidOfAreas	Class
274	883	917	745600	745614	254	42	25	31667	116	135	1362	0	1	50	0.6535	0.4664	0.4118	0.025	0.8095	0.56	0.0	2.4048	1.5315	1.1461	-0.5882	-0.026	0.761	7
275	112	127	33720	33737	178	16	17	17274	69	125	1692	1	0	80	0.1324	0.302	0.8824	0.0089	0.9375	1.0	1.0	2.2504	1.1761	1.2305	0.1177	-0.2418	0.4219	6
277	41	194	452068	452142	6170	228	137	645016	51	134	1358	0	1	40	0.0604	0.455	0.4837	0.1127	0.6711	0.5401	0.0	3.7903	2.1847	1.8692	-0.5163	-0.1833	1.0	3
280	0	12	864919	865043	745	42	125	55239	56	94	1687	1	0	80	0.0	0.4993	0.0968	0.0071	0.2857	0.992	1.0	2.8722	1.0792	2.0934	0.9032	-0.4207	0.9996	7
281	157	167	1009876	1009888	67	15	13	8477	113	140	1352	1	0	70	0.2323	0.4417	0.8333	0.0074	0.6667	0.9231	1.0	1.8261	1.0	1.0792	0.1667	-0.0115	0.2288	2
282	1410	1420	1164921	1164931	60	12	10	6342	88	124	1624	1	0	70	0.2512	0.4	1.0	0.0062	0.8333	1.0	0.5	1.7781	1.0	1.0	0.0	-0.1742	0.2061	6
284	1010	1017	673841	673860	88	14	19	9432	95	125	1692	1	0	60	0.7979	0.3383	0.3684	0.0041	0.5	1.0	1.0	1.9445	0.8451	1.2787	0.6316	-0.1626	0.2445	6
286	90	104	751059	751132	552	38	76	59750	79	134	1687	0	1	150	0.1067	0.4599	0.1918	0.0083	0.3684	0.9605	1.0	2.7419	1.1461	1.8633	0.8082	-0.1543	0.9918	1
287	362	388	2839568	2839625	1015	49	59	105560	76	132	1364	0	1	40	0.5308	0.3151	0.4561	0.0191	0.5306	0.9661	1.0	3.0065	1.415	1.7559	0.5439	-0.1875	0.9996	6
288	225	244	506783	506794	123	28	16	13148	95	118	1356	1	0	70	0.3319	0.4115	0.5789	0.014	0.6786	0.6875	0.0	2.0899	1.2787	1.0414	-0.4211	-0.1649	0.3494	2
290	23	43	2985008	2985026	170	42	20	19738	107	125	1364	0	1	40	0.0337	0.5278	0.9	0.0147	0.4762	0.9	0.0	2.2304	1.301	1.2553	-0.1	-0.0929	0.5951	7
291	1080	1088	2136974	2136983	48	8	9	5418	98	132	1687	1	0	70	0.7101	0.3333	0.8889	0.0047	1.0	1.0	1.0	1.6812	0.9031	0.9542	0.1111	-0.1182	0.1773	7
292	280	305	2109314	2109324	149	27	17	15313	93	111	1354	1	0	70	0.4136	0.404	0.4	0.0185	0.9259	0.5882	0.0	2.1732	1.3979	1.0	-0.6	-0.1971	0.4138	2
293	9	18	374580	374591	74	15	11	4347	36	84	1356	1	0	70	0.0133	0.2525	0.8182	0.0066	0.6	1.0	1.0	1.8692	0.9542	1.0414	0.1818	-0.5411	0.2051	2
296	39	214	2350467	2350536	6472	243	129	673434	44	124	1356	0	1	40	0.0575	0.464	0.3943	0.1291	0.7202	0.5349	0.0	3.811	2.243	1.8389	-0.6057	-0.1871	1.0	3
297	888	900	172100	172111	105	15	11	10269	59	126	1686	1	0	70	0.9324	0.2045	0.9167	0.0071	0.8	1.0	0.0	2.0212	1.0792	1.0414	-0.0833	-0.2359	0.2432	6
301	481	503	1342944	1342971	243	43	34	27326	104	126	1602	0	1	40	0.6005	0.5909	0.8148	0.0137	0.5116	0.7941	1.0	2.3856	1.3424	1.4314	0.1852	-0.1215	0.8749	7
304	981	992	467888	467902	102	16	14	12417	115	132	1356	0	1	40	0.5369	0.3377	0.7857	0.0081	0.6875	1.0	1.0	2.0086	1.0414	1.1461	0.2143	-0.0489	0.2712	6
305	359	370	652992	653004	84	13	12	9522	87	134	1628	1	0	70	0.441	0.3636	0.9167	0.0068	0.8461	1.0	1.0	1.9243	1.0414	1.0792	0.0833	-0.1144	0.2432	6
306	244	261	184455	184498	460	49	44	46972	86	111	1692	0	1	300	0.2884	0.3707	0.3954	0.01	0.3469	0.9773	1.0	2.6628	1.2305	1.6335	0.6047	-0.2022	0.9457	7
307	1060	1080	3402848	3402864	125	29	20	11804	81	108	1364	1	0	80	0.4164	0.6094	0.8	0.0147	0.6897	0.8	0.0	2.0969	1.301	1.2041	-0.2	-0.2623	0.5296	6
311	1398	1445	684296	684315	381	91	47	48528	111	143	1694	1	0	143	0.294	0.5734	0.4043	0.0277	0.5165	0.4043	0.0	2.5809	1.6721	1.2787	-0.5957	-0.0049	0.9809	7
314	0	13	235757	235999	1934	82	246	178741	11	127	1353	0	1	70	0.0	0.3853	0.0537	0.0096	0.1585	0.9837	1.0	3.2865	1.1139	2.3838	0.9463	-0.278	1.0	7
316	193	205	82308	82319	84	19	11	9155	99	118	1354	1	0	70	0.2851	0.3636	0.9167	0.0089	0.6316	1.0	0.0	1.9243	1.0792	1.0414	-0.0833	-0.1485	0.2432	2
321	253	265	220228	220253	200	30	25	18651	66	108	1692	0	1	300	0.2991	0.3333	0.48	0.0071	0.4	1.0	1.0	2.301	1.0792	1.3979	0.52	-0.2715	0.4963	7
323	37	218	1285016	1285196	15704	976	557	1814409	25	142	1396	0	1	40	0.053	0.518	0.9945	0.1297	0.1855	0.3232	0.0	4.196	2.2577	2.2553	-0.0055	-0.0974	1.0	3
324	513	534	620622	620684	657	53	62	73236	71	132	1374	0	1	40	0.7467	0.4954	0.3387	0.0153	0.3962	1.0	1.0	2.8176	1.3222	1.7924	0.6613	-0.1291	0.9987	7
325	23	40	2669665	2669677	94	24	16	10847	104	126	1354	1	0	70	0.034	0.5392	0.7059	0.0126	0.7083	0.75	0.0	1.9731	1.2305	1.0792	-0.2941	-0.0985	0.3419	2
327	1325	1340	9767941	9767962	229	25	23	25182	101	127	1362	0	1	40	0.0323	0.273	0.7143	0.011	0.6	0.913	1.0	2.3598	1.1761	1.3222	0.2857	-0.1409	0.5212	7
329	919	931	3178549	3178563	133	14	14	14163	84	126	1358	1	0	100	0.6289	0.2083	0.8571	0.0088	0.8571	1.0	1.0	2.1239	1.0792	1.1461	0.1429	-0.1681	0.2901	6
331	238	354	87744	87794	3288	191	114	260660	36	103	1664	0	1	40	0.2861	0.4331	0.431	0.0697	0.6073	0.4386	0.0	3.5169	2.0645	1.699	-0.569	-0.3807	1.0	3
332	226	249	791161	791249	995	70	90	110993	95	133	1354	1	0	70	0.3338	0.5084	0.2614	0.017	0.3286	0.9778	1.0	2.9978	1.3617	1.9445	0.7386	-0.1285	1.0	2
334	662	670	781434	781444	66	10	10	7181	89	123	1687	1	0	80	0.7848	0.175	0.8	0.0047	0.8	1.0	1.0	1.8195	0.9031	1.0	0.2	-0.15	0.1852	7
335	1229	1232	224240	224243	6	3	3	718	107	140	1358	0	1	50	0.1856	0.3333	1.0	0.0022	1.0	1.0	0.5	0.7782	0.4771	0.4771	0.0	-0.0651	0.124	4
336	857	865	211983	211993	52	8	10	9968	178	207	1387	0	1	40	0.7527	0.35	0.8	0.0058	1.0	1.0	1.0	1.716	0.9031	1.0	0.2	0.4976	0.1852	3
337	0	21	881709	881856	1949	68	162	144252	56	99	1687	1	0	80	0.0	0.3686	0.1429	0.0125	0.3088	0.9074	1.0	3.2898	1.3222	2.1673	0.8571	-0.4218	1.0	7
339	2	11	130760	130780	110	12	20	10340	71	116	1687	0	1	200	0.0024	0.3889	0.45	0.0053	0.75	1.0	1.0	2.0414	0.9542	1.301	0.55	-0.2656	0.3068	7
340	27	36	2457919	2457943	145	19	26	14997	91	117	1356	1	0	70	0.0398	0.3287	0.375	0.0066	0.4737	0.9231	1.0	2.1614	0.9542	1.3802	0.625	-0.192	0.3601	2
341	1066	1081	9670837	9670878	235	43	45	27135	106	127	1362	0	1	40	0.4126	0.6179	0.3659	0.011	0.3488	0.9111	1.0	2.3711	1.1761	1.6128	0.6342	-0.0979	0.8894	7
343	20	31	1048964	1048986	158	18	22	17923	106	125	1373	0	1	40	0.0291	0.3471	0.5	0.008	0.6111	1.0	1.0	2.1987	1.0414	1.3424	0.5	-0.1138	0.4009	7
344	534	545	756916	756929	78	20	13	10621	129	148	1364	1	0	70	0.783	0.4545	0.8461	0.0081	0.55	1.0	1.0	1.8921	1.0414	1.1139	0.1539	0.0638	0.257	7
345	74	91	2032900	2032910	99	29	17	11843	109	134	1354	1	0	70	0.1093	0.4177	0.5882	0.0126	0.5862	0.5882	0.0	1.9956	1.2305	1.0	-0.4118	-0.0654	0.2928	2
346	41	209	7300641	7300696	4788	257	136	516343	63	127	1360	0	1	40	0.0603	0.4818	0.3274	0.1235	0.6537	0.4044	0.0	3.6802	2.2253	1.7404	-0.6726	-0.1575	1.0	3
348	1669	1679	456531	456548	91	14	17	7263	64	102	1688	1	0	150	0.0107	0.4647	0.5882	0.0059	0.7143	1.0	1.0	1.959	1.0	1.2305	0.4118	-0.3765	0.2928	7
350	1578	1590	1208774	1208843	372	56	70	37930	77	125	1696	0	1	90	0.125	0.5507	0.1739	0.0071	0.2143	0.9857	1.0	2.5705	1.0792	1.8389	0.8261	-0.2034	0.9708	1
351	78	94	1523381	1523431	463	69	54	60518	118	141	1360	0	1	130	0.1147	0.4212	0.32	0.0118	0.2319	0.9259	1.0	2.6656	1.2041	1.699	0.68	0.0212	0.965	7
352	1258	1270	422864	422886	184	21	24	16987	85	103	1353	0	1	70	0.1227	0.303	0.5454	0.0089	0.5714	0.9167	1.0	2.2648	1.0792	1.3424	0.4545	-0.2787	0.4366	7
355	96	172	728912	728995	2406	231	168	301138	116	140	1358	0	1	40	0.1414	0.6186	0.9157	0.056	0.329	0.494	1.0	3.3813	1.8808	1.9191	0.0843	-0.0222	1.0	3
356	657	678	2134924	2134950	425	28	26	37025	48	124	1356	1	0	100	0.969	0.2216	0.8077	0.0155	0.75	1.0	1.0	2.6284	1.3222	1.415	0.1923	-0.3194	0.8355	6
357	614	622	2206544	2206572	161	18	28	18877	108	134	1364	0	1	100	0.9003	0.2813	0.2857	0.0059	0.4444	1.0	1.0	2.2068	0.9031	1.4472	0.7143	-0.084	0.3725	5
358	744	757	113269	113291	162	21	23	17124	85	124	1690	1	0	60	0.8805	0.4336	0.5909	0.0077	0.6191	0.9565	1.0	2.2095	1.1139	1.3424	0.4091	-0.1742	0.4729	6
359	39	192	1842518	1842677	11211	639	387	1293558	35	141	1402	0	1	40	0.0556	0.5391	0.9623	0.1091	0.2394	0.4108	1.0	4.0496	2.1847	2.2014	0.0377	-0.0986	1.0	3
365	356	367	1411801	1411815	75	19	16	7384	89	109	1358	1	0	70	0.5243	0.513	0.7857	0.0081	0.5789	0.875	1.0	1.8751	1.0414	1.1461	0.2143	-0.2308	0.2712	2
366	967	982	1659737	1659760	223	24	23	21349	63	124	1652	1	0	69	0.8111	0.3536	0.6522	0.0091	0.625	1.0	1.0	2.3483	1.1761	1.3617	0.3478	-0.2521	0.5708	6
368	397	415	604478	604528	444	58	50	51661	97	134	1358	1	0	70	0.5847	0.5067	0.36	0.0132	0.3103	1.0	1.0	2.6474	1.2553	1.699	0.64	-0.091	0.9818	2
369	49	62	4822354	4822392	386	15	38	36875	51	124	1373	0	1	40	0.0714	0.2186	0.3421	0.0095	0.8667	1.0	1.0	2.5866	1.1139	1.5798	0.6579	-0.2537	0.7822	1
370	65	104	896899	897032	2875	202	161	316233	82	133	1352	1	0	70	0.0962	0.4457	0.2932	0.0289	0.1931	0.8261	1.0	3.4586	1.5911	2.1239	0.7068	-0.1407	1.0	2
373	897	925	1410869	1410896	361	51	35	46442	121	143	1362	0	1	50	0.6417	0.5225	0.9643	0.0206	0.549	0.7714	0.0	2.5575	1.4472	1.4314	-0.0357	0.0051	0.9537	7
374	51	172	320720	320767	3671	175	89	379850	46	124	1360	0	1	40	0.075	0.3545	0.3884	0.089	0.6914	0.5281	0.0	3.5648	2.0828	1.6721	-0.6116	-0.1916	1.0	3
375	1207	1214	882674	882712	120	35	39	15035	118	135	1362	0	1	175	0.2173	0.5489	0.1842	0.0051	0.2	0.9744	1.0	2.0792	0.8451	1.5798	0.8158	-0.0212	0.4399	2
377	1333	1343	1638648	1638668	147	22	20	15513	91	127	1690	1	0	70	0.4107	0.265	0.5	0.0059	0.4545	1.0	1.0	2.1673	1.0	1.301	0.5	-0.1755	0.3359	7
380	1605	1616	1116225	1116232	57	11	7	5464	82	108	1687	1	0	100	0.0842	0.2597	0.6364	0.0065	1.0	1.0	0.0	1.7559	1.0414	0.8451	-0.3636	-0.2511	0.1822	7
382	588	596	1751958	1751967	55	10	9	6243	96	127	1650	1	0	70	0.7127	0.2361	0.8889	0.0049	0.8	1.0	1.0	1.7404	0.9031	0.9542	0.1111	-0.1132	0.1773	7
383	1641	1666	1606625	1606671	652	49	48	56018	73	108	1688	1	0	70	0.0261	0.433	0.5435	0.0148	0.5102	0.9583	1.0	2.8142	1.3979	1.6628	0.4565	-0.3288	0.9965	7
387	1145	1159	10507433	10507445	107	15	12	12374	104	126	1358	0	1	40	0.2931	0.3631	0.8571	0.0103	0.9333	1.0	0.0	2.0294	1.1461	1.0792	-0.1429	-0.0965	0.2901	6
388	457	465	1087496	1087506	60	9	10	6750	92	134	1364	1	0	70	0.6701	0.25	0.8	0.0059	0.8889	1.0	1.0	1.7781	0.9031	1.0	0.2	-0.1211	0.1852	7
389	1328	1334	1772580	1772598	64	14	19	7486	111	126	1358	0	1	40	0.0353	0.4074	0.3333	0.0044	0.4286	0.9474	1.0	1.8062	0.7782	1.2553	0.6667	-0.0862	0.215	5
392	75	84	184350	184383	201	17	35	27349	123	148	1687	0	1	200	0.0889	0.3232	0.2727	0.0053	0.5294	0.9429	1.0	2.3032	0.9542	1.5185	0.7273	0.063	0.4913	1
394	506	519	548929	548953	170	28	25	20000	105	126	1356	1	0	70	0.7463	0.4551	0.5417	0.0096	0.4643	0.96	1.0	2.2304	1.1139	1.3802	0.4583	-0.0809	0.5162	2
395	41	227	1316989	1317154	12212	617	372	1398637	27	141	1402	0	1	40	0.0585	0.6021	0.8871	0.1327	0.3015	0.4435	0.0	4.0868	2.2695	2.2175	-0.1129	-0.1052	1.0	3
396	17	28	42683	42717	284	18	34	32604	87	141	1687	0	1	200	0.0202	0.2406	0.3235	0.0065	0.6111	1.0	1.0	2.4533	1.0414	1.5315	0.6765	-0.1031	0.6173	1
397	213	229	260092	260110	137	50	27	17621	120	140	1364	0	1	40	0.3123	0.5243	0.8889	0.0117	0.32	0.6667	1.0	2.1367	1.2041	1.2553	0.1111	0.0049	0.4763	7
398	419	427	261033	261064	185	15	31	20399	97	124	1687	0	1	200	0.4967	0.254	0.2581	0.0047	0.5333	1.0	1.0	2.2672	0.9031	1.4914	0.7419	-0.1386	0.4106	7
400	144	152	127892	127903	68	10	11	8586	101	142	1618	1	0	70	0.178	0.2273	0.7273	0.0049	0.8	1.0	1.0	1.8325	0.9031	1.0414	0.2727	-0.0136	0.1934	7
403	35	210	1029360	1029531	14963	779	468	1720418	22	141	1398	0	1	40	0.0501	0.5	0.9771	0.1252	0.2246	0.3654	0.0	4.175	2.243	2.233	-0.0229	-0.1017	1.0	3
404	1444	1457	5996730	5996739	79	19	11	10188	116	140	1648	1	0	69	0.2318	0.3248	0.6923	0.0079	0.6842	0.8182	0.0	1.8976	1.1139	0.9542	-0.3077	0.0075	0.2253	5
407	321	329	679386	679391	17	12	5	2193	121	140	1358	0	1	50	0.4728	0.575	0.625	0.0059	0.6667	1.0	0.0	1.2305	0.9031	0.699	-0.375	0.0078	0.1483	4
409	39	192	1831860	1832017	11809	621	400	1367596	36	141	1400	0	1	40	0.0557	0.5084	0.9745	0.1093	0.2464	0.3925	1.0	4.0722	2.1847	2.1959	0.0255	-0.0952	1.0	3
410	1228	1267	4015601	4015618	271	56	26	32459	112	134	1370	0	1	40	0.1504	0.5913	0.4359	0.0285	0.6964	0.6539	0.0	2.433	1.5911	1.2305	-0.5641	-0.0643	0.9172	7
413	837	850	231429	231443	155	13	14	16093	55	134	1687	0	1	200	0.9923	0.1484	0.9286	0.0077	1.0	1.0	1.0	2.1903	1.1139	1.1461	0.0714	-0.1889	0.3097	6
415	623	631	309514	309526	60	9	12	4585	62	92	1694	1	0	211	0.7355	0.375	0.6667	0.0047	0.8889	1.0	1.0	1.7781	0.9031	1.0792	0.3333	-0.403	0.2018	1
417	619	630	2122174	2122284	653	90	110	71112	95	134	1366	0	1	100	0.9063	0.4603	0.1	0.0081	0.1222	1.0	1.0	2.8149	1.0414	2.0414	0.9	-0.1492	0.9977	5
419	17	27	2824729	2824741	76	15	12	4643	43	86	1354	1	0	70	0.0251	0.3667	0.8333	0.0074	0.6667	1.0	1.0	1.8808	1.0	1.0792	0.1667	-0.5227	0.2288	2
421	128	189	2315086	2315172	2160	259	149	269308	116	135	1358	0	1	40	0.1885	0.5883	0.7093	0.0449	0.2355	0.5772	1.0	3.3345	1.7853	1.9345	0.2907	-0.0259	1.0	3
423	141	182	133683	133829	2267	201	161	248809	96	127	1354	1	0	70	0.2083	0.6213	0.2808	0.0303	0.204	0.9068	1.0	3.3554	1.6128	2.1644	0.7192	-0.1426	1.0	2
424	793	801	2533145	2533151	31	9	6	3476	99	121	1687	1	0	70	0.9401	0.3542	0.75	0.0047	0.8889	1.0	0.0	1.4914	0.9031	0.7782	-0.25	-0.124	0.1551	7
428	39	212	2776296	2776362	6172	263	143	648030	39	126	1358	0	1	40	0.0574	0.4595	0.3815	0.1274	0.6578	0.4615	0.0	3.7904	2.238	1.8195	-0.6185	-0.1797	1.0	3
429	122	146	203252	203261	95	33	22	12566	124	143	1362	0	1	40	0.1792	0.5602	0.375	0.0176	0.7273	0.4091	0.0	1.9777	1.3802	0.9542	-0.625	0.0334	0.3601	7
430	41	193	1945494	1945637	10743	652	418	1239926	38	142	1402	0	1	40	0.0585	0.5058	0.9408	0.1084	0.2331	0.3421	0.0	4.0311	2.1818	2.1553	-0.0592	-0.0983	1.0	3
433	1206	1216	1802452	1802460	67	11	8	7164	92	124	1362	1	0	120	0.2144	0.1625	0.8	0.0073	0.9091	1.0	0.0	1.8261	1.0	0.9031	-0.2	-0.1646	0.1852	7
437	1358	1378	956972	956991	226	23	27	23587	86	119	1387	0	1	40	0.013	0.4053	0.95	0.0144	0.8696	0.7037	0.0	2.3541	1.301	1.2787	-0.05	-0.1846	0.6268	7
441	413	446	138468	138883	9052	230	432	1481991	23	199	1687	0	1	150	0.4896	0.339	0.0795	0.0196	0.1435	0.9607	1.0	3.9567	1.5185	2.6181	0.9205	0.2791	1.0	1
444	810	824	11569824	11569844	190	18	20	22158	102	132	1360	0	1	40	0.7882	0.3214	0.7	0.0103	0.7778	1.0	1.0	2.2787	1.1461	1.301	0.3	-0.0889	0.463	7
447	1303	1344	33298	33323	452	44	26	42686	65	117	1366	0	1	175	0.0322	0.559	0.6098	0.03	0.9318	0.9615	0.0	2.6551	1.6128	1.3979	-0.3902	-0.2622	0.992	7
448	39	195	601086	601148	5786	202	106	600867	41	124	1358	0	1	40	0.0574	0.4018	0.3974	0.1149	0.7723	0.5849	0.0	3.7624	2.1931	1.7924	-0.6026	-0.1887	1.0	3
449	1111	1126	238390	238406	166	17	16	16566	61	134	1686	1	0	70	0.6643	0.3083	0.9375	0.0089	0.8824	1.0	1.0	2.2201	1.1761	1.2041	0.0625	-0.2203	0.3977	6
450	14	32	1105359	1105387	252	55	36	19650	52	94	1356	1	0	70	0.0206	0.5	0.6429	0.0133	0.3273	0.7778	1.0	2.4014	1.2553	1.4472	0.3571	-0.3908	0.7933	2
451	996	1015	28972	28984	128	29	16	13352	96	116	1358	0	1	40	0.5052	0.4386	0.6316	0.014	0.6552	0.75	0.0	2.1072	1.2787	1.0792	-0.3684	-0.1851	0.3787	7
454	459	470	4165780	4165792	89	14	12	10504	108	127	1352	0	1	40	0.679	0.3258	0.9167	0.0081	0.7857	1.0	1.0	1.9494	1.0414	1.0792	0.0833	-0.078	0.2432	6
455	798	825	1519629	1519634	65	28	8	8344	118	143	1648	1	0	69	0.9685	0.5185	0.1852	0.0164	0.9643	0.625	0.0	1.8129	1.4314	0.699	-0.8148	0.0029	0.2469	7
460	724	733	3320084	3320092	56	14	8	5857	87	124	1380	0	1	40	0.9377	0.2222	0.8889	0.0065	0.6429	1.0	0.0	1.7482	0.9542	0.9031	-0.1111	-0.1829	0.1773	6
462	39	212	2244009	2244082	6827	276	141	711671	40	124	1358	0	1	40	0.0574	0.4594	0.422	0.1274	0.6268	0.5177	0.0	3.8342	2.238	1.8633	-0.578	-0.1856	1.0	3
463	856	864	519257	519266	57	10	11	9848	161	183	1387	0	1	40	0.7541	0.2083	0.8889	0.0058	0.8	0.8182	1.0	1.7559	0.9031	0.9542	0.1111	0.3498	0.1773	3
468	146	169	5714647	5714652	76	24	7	10286	120	151	1650	1	0	69	0.177	0.3391	0.2174	0.0139	0.9583	0.7143	0.0	1.8808	1.3617	0.699	-0.7826	0.0574	0.223	6
469	570	579	1162279	1162292	86	17	13	9819	100	125	1358	0	1	50	0.8395	0.265	0.6923	0.0066	0.5294	1.0	1.0	1.9345	0.9542	1.1139	0.3077	-0.108	0.2253	4
470	1554	1564	3375744	3375765	134	13	21	13356	89	111	1690	0	1	70	0.1491	0.3619	0.4762	0.0059	0.7692	1.0	1.0	2.1271	1.0	1.3222	0.5238	-0.2213	0.3509	1
480	40	56	15755	15765	102	17	10	17813	162	189	1353	0	1	100	0.0591	0.3625	0.625	0.0118	0.9412	1.0	0.0	2.0086	1.2041	1.0	-0.375	0.3643	0.2792	7
484	17	23	2433462	2433491	122	16	29	14032	107	127	1352	0	1	40	0.0251	0.2988	0.2069	0.0044	0.375	1.0	1.0	2.0864	0.7782	1.4624	0.7931	-0.1014	0.2984	6
488	1268	1277	5437033	5437060	146	20	27	15572	88	126	1646	1	0	69	0.4484	0.3992	0.3333	0.0055	0.45	1.0	1.0	2.1644	0.9542	1.4314	0.6667	-0.1667	0.4025	1
490	345	362	283416	283428	60	23	18	7914	124	143	1364	0	1	40	0.5059	0.7059	0.7059	0.0125	0.7391	0.6667	0.0	1.7781	1.2305	1.0792	-0.2941	0.0305	0.3419	7
492	791	833	4104160	4104163	59	42	8	7281	97	150	1690	1	0	70	0.9361	0.5318	0.0714	0.0248	1.0	0.375	0.0	1.7708	1.6233	0.4771	-0.9286	-0.0359	0.2359	7
493	95	169	338690	338716	563	109	59	66987	107	135	1358	0	1	175	0.1399	0.7074	0.3514	0.0545	0.6789	0.4407	0.0	2.7505	1.8692	1.415	-0.6486	-0.0705	1.0	7
495	1159	1170	32914	32926	106	11	12	12792	100	134	1353	0	1	185	0.2705	0.197	0.9167	0.0081	1.0	1.0	1.0	2.0253	1.0414	1.0792	0.0833	-0.0572	0.2432	6
496	86	215	7325485	7325536	4346	163	89	473046	65	127	1360	0	1	40	0.1265	0.3394	0.3954	0.0949	0.7914	0.573	0.0	3.6381	2.1106	1.7076	-0.6047	-0.1496	1.0	3
497	333	342	764107	764213	525	16	106	57020	95	127	1353	0	1	70	0.4922	0.4497	0.0849	0.0066	0.5625	1.0	1.0	2.7202	0.9542	2.0253	0.9151	-0.1515	0.9872	7
498	1152	1167	6571361	6571375	133	19	14	15524	107	127	1362	0	1	40	0.2863	0.3667	0.9333	0.011	0.7895	1.0	0.0	2.1239	1.1761	1.1461	-0.0667	-0.0881	0.3509	6
499	779	803	1689276	1689652	4758	307	377	517021	42	143	1364	1	0	120	0.8226	0.4727	0.0638	0.0176	0.0782	0.9973	1.0	3.6774	1.3802	2.5752	0.9362	-0.1511	1.0	7
502	973	989	707576	707600	150	47	28	19311	120	141	1374	0	1	40	0.5604	0.6094	0.6667	0.0116	0.3404	0.8571	1.0	2.1761	1.2041	1.3802	0.3333	0.0058	0.633	7
504	39	190	1735985	1736165	11355	639	388	1299720	31	141	1402	0	1	40	0.0556	0.5822	0.8389	0.1077	0.2363	0.4639	1.0	4.0552	2.179	2.2553	0.1611	-0.1058	1.0	3
507	1343	1352	106512	106519	52	9	7	5049	87	109	1366	0	1	100	0.0205	0.1746	0.7778	0.0066	1.0	1.0	0.0	1.716	0.9542	0.8451	-0.2222	-0.2414	0.1687	1
508	1307	1314	968156	968164	35	9	9	4108	102	132	1692	1	0	60	0.4468	0.375	0.875	0.0041	0.7778	0.8889	1.0	1.5441	0.8451	0.9031	0.125	-0.083	0.1622	6
509	1573	1591	3116210	3116226	99	35	20	10357	97	116	1692	0	1	70	0.1194	0.6563	0.8889	0.0106	0.5143	0.8	0.0	1.9956	1.2553	1.2041	-0.1111	-0.1827	0.4763	7
510	625	635	1981388	1981483	571	68	95	64701	98	135	1364	0	1	100	0.9164	0.399	0.1053	0.0073	0.1471	1.0	1.0	2.7566	1.0	1.9777	0.8947	-0.1147	0.9869	5
514	46	58	179258	179312	480	15	54	61966	102	158	1687	0	1	150	0.0545	0.2593	0.2222	0.0071	0.8	1.0	1.0	2.6812	1.0792	1.7324	0.7778	0.0086	0.9093	1
515	41	56	1939590	1939602	117	22	14	11647	89	110	1356	1	0	70	0.0605	0.35	0.8	0.0111	0.6818	0.8571	0.0	2.0682	1.1761	1.0792	-0.2	-0.2223	0.3068	2
523	483	512	5060301	5060316	206	41	21	25181	104	143	1632	1	0	200	0.5919	0.5264	0.5172	0.0178	0.7073	0.7143	0.0	2.3139	1.4624	1.1761	-0.4828	-0.045	0.7079	7
525	37	212	2222725	2222791	6281	265	132	654358	42	126	1356	0	1	40	0.0546	0.4562	0.3771	0.1291	0.6604	0.5	0.0	3.798	2.243	1.8195	-0.6229	-0.1861	1.0	3
531	1427	1455	5897947	5897955	123	29	13	15711	117	141	1652	1	0	69	0.2385	0.4509	0.2857	0.017	0.9655	0.6154	0.0	2.0899	1.4472	0.9031	-0.7143	-0.0021	0.3725	5
534	39	734	684933	685134	16521	926	591	1992604	21	149	1400	0	1	40	0.0557	0.8817	0.2892	0.4964	0.7505	0.3401	0.0	4.218	2.842	2.3032	-0.7108	-0.0577	1.0	3
537	1291	1295	249736	249740	10	4	5	1233	119	132	1358	0	1	50	0.0928	0.375	1.0	0.003	1.0	0.8	0.5	1.0	0.6021	0.6021	0.0	-0.0367	0.1292	4
541	1131	1159	288152	288161	112	44	16	14403	120	141	1364	0	1	100	0.3006	0.5556	0.3214	0.0205	0.6364	0.5625	0.0	2.0492	1.4472	0.9542	-0.6786	0.0047	0.417	6
543	141	154	1060291	1060313	109	25	22	12602	102	132	1356	1	0	70	0.208	0.6189	0.5909	0.0096	0.52	1.0	1.0	2.0374	1.1139	1.3424	0.4091	-0.0968	0.4729	2
544	1381	1447	3515903	3516104	6965	271	317	650853	68	124	1686	1	0	70	0.2835	0.475	0.3284	0.0391	0.2435	0.6341	1.0	3.8429	1.8195	2.3032	0.6716	-0.27	1.0	7
545	39	218	1750768	1750835	6543	279	160	679238	39	125	1358	0	1	40	0.0574	0.4544	0.3743	0.1318	0.6416	0.4187	0.0	3.8158	2.2529	1.8261	-0.6257	-0.189	1.0	3
547	612	622	2237084	2237099	87	15	15	10024	106	127	1364	0	1	100	0.8974	0.42	0.6667	0.0073	0.6667	1.0	1.0	1.9395	1.0	1.1761	0.3333	-0.0999	0.266	5
550	41	184	356230	356279	4331	178	108	450619	45	126	1360	0	1	40	0.0603	0.3819	0.3427	0.1051	0.8034	0.4537	0.0	3.6366	2.1553	1.6902	-0.6573	-0.1872	1.0	3
